longitude,latitude,school_name,composite_score,composite_score_rank,equity_rank,excellence_rank,efficiency_rank,Asian,AfricanAmerican,NotReported,Filipino,HispanicorLatino,TwoorMoreRaces,White,PacificIslander,AmericanIndianorAlaskaNative
-122.49686447654231,37.77754826585323,Lafayette Elementary,23.61,20,7,96,48,36.49789029535865,1.4767932489451476,5.9071729957805905,2.5316455696202533,13.080168776371309,15.18987341772152,24.894514767932492,0.42194092827004215,
-122.486103341329,37.730619776010144,Lakeshore Alternative Elementary,29.27,34,23,59,74,29.216152019002372,14.014251781472684,4.038004750593824,6.413301662707839,19.47743467933492,12.351543942992874,14.014251781472684,0.23752969121140144,0.23752969121140144
-122.48955741829276,37.75795803391185,Lawton Alternative,36.84,58,21,76,79,71.8801996672213,1.9966722129783694,8.153078202995008,1.9966722129783694,5.657237936772046,5.158069883527454,4.825291181364393,0.16638935108153077,0.16638935108153077
-122.41205083467396,37.74818734943472,Flynn (Leonard R.) Elementary,31.7,43,62,21,24,1.0443864229765014,11.488250652741515,5.483028720626632,0.7832898172323759,55.87467362924282,8.093994778067886,16.710182767624023,0.5221932114882507,
-122.44732972216502,37.71056829720709,Longfellow Elementary,50.56,82,55,66,77,10.572687224669604,1.5418502202643172,3.7444933920704844,22.687224669603523,53.524229074889874,4.185022026431718,2.4229074889867843,1.3215859030837005,
-122.41899409200204,37.766668747507254,Marshall Elementary,38.32,59,84,20,15,0.8097165991902834,2.0242914979757085,2.0242914979757085,0.4048582995951417,84.21052631578947,0.8097165991902834,9.31174089068826,,0.4048582995951417
-122.43680738639966,37.7671955868604,McKinley Elementary,30.77,40,16,89,52,7.6923076923076925,6.882591093117409,5.668016194331984,1.6194331983805668,20.242914979757085,12.550607287449392,45.34412955465587,,
-122.45026719433169,37.7392728062415,Miraloma Elementary,36.52,55,17,97,70,12.857142857142856,2.2857142857142856,5.714285714285714,2.571428571428571,17.42857142857143,17.142857142857142,41.714285714285715,,0.2857142857142857
-122.43005207799968,37.72537212555869,Monroe Elementary,40.53,64,34,49,91,38.88888888888889,0.9578544061302682,4.022988505747127,0.9578544061302682,50.57471264367817,1.7241379310344827,2.8735632183908044,,
-122.4131376828454,37.737104791509694,Revere (Paul) Elementary,34.15,51,80,2,45,1.511879049676026,7.991360691144708,3.6717062634989204,3.8876889848812093,75.5939524838013,3.2397408207343417,2.159827213822894,0.6479481641468683,1.2958963282937366
-122.43029657384652,37.78353180853321,Parks (Rosa) Elementary,19.84,15,68,13,2,14.825581395348838,19.476744186046513,5.813953488372093,3.1976744186046515,26.16279069767442,19.767441860465116,9.593023255813954,1.1627906976744187,
