school_name,composite_score,equity_rank,excellence_rank,efficiency_rank,Enrollment,equity_score_lmodel,excellence_score_lmodel,efficiency_score_lmodel,composite_score_lmodel,equity_score_pmodel,excellence_score_pmodel,efficiency_score_pmodel,composite_score_pmodel
Galileo High,91.88,100,58,62,1781,79.28847762299488,36.405559352172716,52.850719724160825,61.95830858058083,100.0,44.43172125451325,18.443911633594624,65.71890822202697
Spring Valley Elementary,25.72,46,41,12,233,36.47269970657764,25.734964369639336,10.229171559514997,27.227383835577402,39.0198593677143,26.506442893409414,0.0554357353874134,26.150399341056357
Redding Elementary,25.47,40,14,65,241,31.715391049197954,8.78754880914514,55.40801261403957,31.906585880395156,32.940037884156254,5.350569951837123,21.79826837922853,23.25722852484454
Muir (John) Elementary,49.99,64,85,19,266,50.74462567871672,53.35297491266691,16.19618830256541,42.75960364316644,58.22419147767754,78.50359068457352,0.28152692638958793,48.808375141579546
Wells (Ida B.) High,41.7,85,5,73,,67.39520597954565,3.1384102889804066,62.227460320382896,50.03907064211365,82.12220374145623,1.1547422770900044,32.860992683044024,49.565035610761626
Chinese Immersion School at DeAvila,34.1,41,48,36,407,32.5082758254279,30.128738774211904,30.687514678544993,31.45820127590318,33.94069110145563,33.519635694927565,2.6976875435262575,26.024676360341267
New Traditions Elementary,23.72,14,81,41,261,11.100386867219285,50.84224668148259,34.94966949500958,26.998172477732687,9.229240000636263,73.06584453296091,4.2728897447731296,23.949303569751642
Grattan Elementary,14.65,10,71,29,391,7.928847762299489,44.56542610352177,24.720497935494574,21.285904890903833,6.138592669977828,60.04702906082686,1.255814320156147,18.395007180234664
Balboa High,62.04,98,24,89,1262,77.70270807053498,15.064369387105952,75.86635573306957,61.58403531531137,97.58130178545048,11.9398960715663,66.22658207961193,68.3322704305198
Sheridan Elementary,54.8,61,92,33,196,48.365971350026875,57.74674931723949,28.130221788666244,45.65222845148987,54.93315374921468,88.32268156420098,1.9831852783160444,50.0430435852366
Longfellow Elementary,50.56,55,66,77,461,43.60866269264719,41.42701581454137,65.63718417355456,48.57038134334758,48.45487159025898,53.8594491297489,39.683243106584,47.61310885421272
Monroe Elementary,40.53,34,49,91,532,26.958082391818262,30.756420832007986,77.5712176596554,40.56095081882498,27.051085023739674,34.56487467455226,71.64100774719729,40.077013117307224
Guadalupe Elementary,40.43,57,47,42,273,45.19443224510709,29.501056716415825,35.80210045830249,38.923005416233124,50.59843971885367,32.48499626727222,4.6529638374110105,34.58370988559765
Jordan (June) School for Equity,35.23,89,26,1,179,70.56674508446544,16.319733502698114,0.8524309632929165,39.57641365873047,86.82887434825422,13.45144183441154,8.464012682374218e-6,46.77729974873317
Denman (James) Middle,32.11,76,10,23,818,60.259242993476114,6.276820577960813,19.60591215573708,36.60030468016253,71.7057984101963,3.241782023694822,0.5532665474287692,36.80166134787904
Sunnyside Elementary,31.5,13,95,63,366,10.307502090989335,59.629795490627735,53.703150687453736,33.48698759001503,8.43646129292538,92.64577792453143,19.517566767244997,32.2590668194068
Cleveland Elementary,25.45,38,6,80,303,30.129621496738057,3.766092346776488,68.19447706343333,33.05495310092148,30.95470267552287,1.5149666061569822,45.42612209783251,27.212623513758807
