school_name,asian_students,african_american_students,not_reported_students,filipino_students,hispanic_or_latino_students,two_or_more_races_students,white_students,pacific_islander_students,american_indian_or_alaska_native_students,asian_percent,african_american_percent,not_reported_percent,filipino_percent,hispanic_or_latino_percent,two_or_more_races_percent,white_percent,pacific_islander_percent,american_indian_or_alaska_native_percent
El Dorado Elementary,9,21,8,5,56,7,4,13,,7.317073170731707,17.073170731707318,6.504065040650407,4.0650406504065035,45.52845528455284,5.691056910569105,3.2520325203252036,10.569105691056912,
Cobb (William L.) Elementary,8,44,7,2,44,14,17,1,,5.839416058394161,32.11678832116788,5.109489051094891,1.4598540145985401,32.11678832116788,10.218978102189782,12.408759124087592,0.7299270072992701,
Huerta (Dolores) Elementary,6,5,8,3,266,25,68,,,1.574803149606299,1.3123359580052494,2.099737532808399,0.7874015748031495,69.81627296587926,6.561679790026247,17.84776902887139,,
Key (Francis Scott) Elementary,238,2,21,23,56,60,162,,,42.34875444839858,0.3558718861209964,3.7366548042704624,4.092526690391459,9.9644128113879,10.676156583629894,28.825622775800714,,
McCoppin (Frank) Elementary,71,6,15,8,46,36,58,,2,29.338842975206614,2.479338842975207,6.198347107438017,3.3057851239669422,19.00826446280992,14.87603305785124,23.96694214876033,,0.8264462809917356
Garfield Elementary,74,18,9,9,33,31,17,,,38.7434554973822,9.424083769633508,4.712041884816754,4.712041884816754,17.277486910994764,16.230366492146597,8.900523560209423,,
Peabody (George) Elementary,67,3,21,11,27,39,101,1,,24.814814814814813,1.1111111111111112,7.777777777777778,4.074074074074074,10.0,14.444444444444443,37.407407407407405,0.3703703703703704,
Glen Park Elementary,9,20,13,6,160,31,81,,1,2.803738317757009,6.230529595015576,4.049844236760125,1.8691588785046727,49.84423676012461,9.657320872274143,25.233644859813083,,0.3115264797507788
Grattan Elementary,29,16,26,3,59,64,187,,,7.552083333333333,4.166666666666666,6.770833333333333,0.78125,15.364583333333334,16.666666666666664,48.69791666666667,,
Guadalupe Elementary,26,4,14,18,204,1,7,5,,9.31899641577061,1.4336917562724014,5.017921146953405,6.451612903225806,73.11827956989248,0.35842293906810035,2.5089605734767026,1.7921146953405016,
Yick Wo Elementary,64,11,22,3,26,27,46,,,32.1608040201005,5.527638190954774,11.055276381909549,1.507537688442211,13.06532663316583,13.5678391959799,23.115577889447238,,
Chavez (Cesar) Elementary,,11,13,,373,7,6,1,,,2.67639902676399,3.1630170316301705,,90.75425790754258,1.70316301703163,1.4598540145985401,0.24330900243309003,
Hillcrest Elementary,42,32,10,19,211,8,2,4,,12.804878048780488,9.75609756097561,3.048780487804878,5.7926829268292686,64.32926829268293,2.4390243902439024,0.6097560975609756,1.2195121951219512,
Parker (Jean) Elementary,80,12,4,1,14,7,6,,1,64.0,9.6,3.2,0.8,11.200000000000001,5.6000000000000005,4.8,,0.8
Jefferson Elementary,258,4,27,7,41,57,108,,,51.39442231075697,0.796812749003984,5.378486055776892,1.394422310756972,8.167330677290837,11.354581673306772,21.51394422310757,,
Muir (John) Elementary,4,46,8,,140,10,17,1,,1.7699115044247788,20.353982300884958,3.5398230088495577,,61.94690265486725,4.424778761061947,7.52212389380531,0.4424778761061947,
